featureidx	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	urine_neg_ab	urine_neg_aw	maxint	mean1	sd1	mean2	sd2	05102016-089	05102016-092	05102016-093	05102016-100	05102016-108	05102016-109	05102016-121	05102016-126	05102016-127	05102016-131	05102016-132	05102016-139	05102016-141	05102016-143	05102016-087	05102016-088	05102016-096	05102016-101	05102016-102	05102016-104	05102016-110	05102016-111	05102016-113	05102016-118	05102016-129	05102016-130	05102016-137	05102016-147
105	M219T3	1.1662975660353	0.221935920848831	0.621182192157485	0.540198546843097	0.897118270752333	UP	218.995269289705	218.994426648397	218.999623207641	2.60688332	2.58958330333333	2.63138324	21	10	11	4889.07421875	1069.58047264598	660.232791334639	1247.44910192589	843.772616207711	1764.6707885743	991.741899118653	1343.74449472933	1946.28360594008	955.847322126014	403.434005870209	796.512291604055	2232.06248204467	401.426375723446	265.071480483788	908.558707101499	606.783484078871	1918.4128659905	439.576813658271	2601.96285961949	2654.68922940039	1866.65050657883	1703.268038261	451.941976835505	631.944118159681	868.392809677125	2563.64931173659	629.777477972677	756.144041222733	605.117800219334	698.098250923764	889.474914152599	543.176092202705
106	M194T2_1	1.19711104777824	-0.259556987409269	-0.59635480708322	0.556303487286412	0.8997982457239	DOWN	194.04423889152	194.043560085869	194.045276526419	2.30249160333333	2.29281665	2.33160000333333	26	12	14	6968.95703125	6383.09465068282	4166.37511867955	5332.08231811862	5111.33948871268	6937.38015585852	2225.80414839407	4301.96667503415	11875.4976316974	1496.1480020223	2092.09290401268	6517.08495933727	6563.13439203824	3992.49846786423	3370.92705168103	14604.1165901946	9198.13797669255	12282.0876552706	3906.44849946188	13642.3888345143	7049.93793198529	2427.3218485321	5297.319627968	6581.91527588983	5882.89936193876	1269.30307856423	18260.10767106	6317.56880481133	1039.57609442823	1362.21519500924	1067.72974866925	1506.10682382142	2944.76215646859
107	M247T1	1.11143148203144	-0.152419011270544	-0.584186953695803	0.564873055856072	0.901168146955421	DOWN	246.990754984781	246.99009459376	246.991605598508	1.47090838333333	1.46066663666667	1.47856664333333	20	10	10	868.53369140625	962.502917725898	514.498057187096	866.002928013759	342.498733084169	2372.75561818876	456.290531744263	620.348868114555	1135.9260405453	601.33510565622	442.785769793906	768.945697570022	976.225794378658	587.356757112797	1278.97515264327	903.552257096157	1545.47938530917	800.935331551659	984.128538457837	854.915634286904	892.659838319975	1139.51994046462	1076.56535312779	732.726673219281	1424.75339342991	834.621258235269	1396.51477161752	833.725030102429	300.474885934021	508.31298793054	297.348777692299	828.107724994151	1003.79472283792
108	M247T2	1.26200863147928	-0.335721777634064	-0.564996321844621	0.578843898043945	0.903322917818637	DOWN	246.990144095343	246.989396501966	246.991039144835	2.12848339666667	2.00455001333333	2.15814995666667	33	14	13	7407.2890625	3947.84623526122	4905.28669217799	3128.22443269164	2323.84794391553	19306.7483555365	1248.46428590483	1782.5184998253	8644.47989175106	4054.90401753924	1194.62988133469	5649.62953390936	2545.51886769604	1791.23683414426	1074.49570048856	1980.78059642187	3158.13394529924	1078.99609079054	1759.31079301565	3097.22729731369	9248.32673286825	1685.15787842322	6072.30137791484	990.036853554231	3688.30852799473	2145.78028022755	2590.68326982726	1036.5281844973	1837.63842933962	2596.18471024907	2055.72545083451	5407.93961722544	1343.30344741329
109	M343T2_2	1.21817511691584	0.284721540589262	0.561608804425853	0.579972250676024	0.903492854012871	UP	343.065516415108	343.064521610491	343.067162718041	1.76809997	1.75891662333333	1.78184997666667	15	9	6	1121.994140625	862.964323076956	684.532518454862	1051.24166515847	1051.13154119613	944.274853222709	187.410981194662	371.143637349906	1613.38913601872	2803.34698351485	245.478863298946	631.671939051831	1223.40657267967	590.779997138587	460.612231978157	800.546080951824	1098.1335642721	625.483094143384	485.82258826203	1557.50885520644	3046.21689459524	901.228638648864	3486.45171544851	418.558475702914	778.854364489746	414.321620787527	769.189480212529	325.689565977027	241.845259795977	244.78107594292	253.748542063712	1744.15146466636	534.837358680832
110	M303T3	1.1208672490009	0.164615421275352	0.536425354021416	0.597820728712522	0.906103617656649	UP	303.016813865565	303.015858943549	303.017906727614	2.902150035	2.89296675666667	2.91401665333333	14	8	6	1313.0380859375	715.844496857346	271.849232162341	802.366651904924	538.811891066855	799.818635510555	558.262466015555	837.747933111889	1298.55009065394	644.790206069605	336.844442330426	775.06738737425	699.652378562513	300.326617285101	1039.24796433555	772.073287548333	617.494872341384	418.11894391091	923.827730952841	486.482272492355	654.231405168689	1334.8989847261	836.879977764219	892.717319233753	2314.71831003708	854.468199050645	739.333082664862	1179.40005567419	253.715952945292	508.417700300824	261.765521368456	515.66121688187	400.443128360591
111	M274T0	1.07036487920744	-0.0981026841856953	-0.532552092032697	0.598866447427063	0.906252205348062	DOWN	273.960249707894	273.95895023945	273.960853699733	0.411441664	0.399599986	0.415683325	24	12	12	759.49365234375	980.659902491434	321.779425311797	916.192152359832	318.772957376927	1758.25947492359	959.569413085294	874.47943769754	1288.50854408864	978.786480777636	622.621088559023	936.799492879082	1248.94210337538	670.17426143063	1194.09370861455	833.411581175908	476.981790926742	863.678658696064	1022.93259864999	1228.7031881916	1085.46259883473	1252.26879627154	1176.67924013054	924.255843713522	804.117773254651	951.790746431218	1258.92880116546	825.880624641922	376.289500184226	1061.75437434248	276.744998643501	1053.57944052364	550.234206708613
112	M485T4	1.08124752147567	-0.112696825689143	-0.510685105003989	0.613959662640456	0.908345614457609	DOWN	485.165332028539	485.163751904072	485.166429410732	3.55620829333333	3.54276657333333	3.56698322	20	10	10	1429.1455078125	1033.43492538934	373.973461699663	955.780156590719	428.783385184273	1285.9660899357	950.795276940623	811.940519683657	777.046054707235	960.886813822866	639.75803168685	798.676898086793	1146.2007244377	528.758050255867	1009.22811733251	1401.64975604666	1939.09524445496	807.265144173194	1410.82223388614	620.454045767152	841.123960315481	1151.78333109466	1661.0452099815	628.291148717797	859.66316220535	1117.86407927511	1032.1522713762	1263.26874589233	250.612755272415	941.750642422582	196.958541330212	1448.83526787156	1367.11903074772
113	M173T1	1.09244310783553	-0.127558149125655	-0.507463392686234	0.616107897591426	0.908635995453124	DOWN	173.007448944135	173.007001807083	173.008155628335	0.736949989	0.561400015333333	0.795149986333333	37	14	14	2620.755859375	3953.07755873698	1735.3779070103	3618.56606571418	1752.6505213482	6926.36862159932	1718.43907181314	2793.15321320304	4072.0674556746	3183.12335584017	1804.19579184035	3498.25533284036	4752.52542413873	1212.93555995127	4715.32727231035	5703.50202156503	6518.49207789442	4122.19070873291	4322.50991491407	3300.70157042803	3749.92700171855	3959.05418246044	4923.96147723792	2061.53675064569	8013.65357657018	2567.235787774	3809.36479906895	4077.06336726035	1649.26589474437	2912.37257674655	1779.27303222205	5792.4173961524	2064.09750696906
114	M189T1_2	1.07965472544646	-0.110570010973739	-0.500930689668045	0.620731553732776	0.909254784228998	DOWN	189.039315351094	189.038608133491	189.039796688725	0.814591681833333	0.804316642	0.848616675666667	24	12	12	555.77880859375	1219.98272847151	510.301471209119	1129.97488893222	437.706752181106	1006.38402904772	1067.53389050793	1223.75642239201	832.753916710187	770.948985264387	581.019401163573	1063.80486137243	2134.33972870576	688.050409564469	1839.98185663406	1398.33751093598	786.248707293785	1717.2157924129	1969.38268659597	1024.09200777071	1508.64317843617	1028.06365457136	1976.55811104331	804.502949531737	921.391840490981	1724.52053347341	990.509723937428	1399.41028914295	377.895784230086	1301.02996742483	500.981604546029	1239.32205889642	1022.72674155574
